comuna,period,avg_pm25
Las Condes,COVID,16.800577998380827
Las Condes,Post-COVID,18.387097851612918
Las Condes,Pre-COVID,20.82292497371663
Pudahuel,COVID,25.632739263371672
Pudahuel,Post-COVID,24.588256016153828
Pudahuel,Pre-COVID,27.025843620184308
Puente Alto,COVID,22.099887588643107
Puente Alto,Post-COVID,20.759968380625036
Puente Alto,Pre-COVID,21.444758517044452
Quilicura,COVID,24.014708585915155
Quilicura,Post-COVID,22.79602386565732
Quilicura,Pre-COVID,24.577995394124883
Santiago,COVID,22.157716745250614
Santiago,Post-COVID,22.274877518002004
Santiago,Pre-COVID,25.920543892912963
