Comuna,Month,num_compliant_days,total_days_in_month,percentage_compliant
Las Condes,2018-11,22,30,73.33333333333333
Las Condes,2021-03,23,31,74.19354838709677
Pudahuel,2018-05,12,31,38.70967741935484
Pudahuel,2018-10,23,31,74.19354838709677
Pudahuel,2021-03,18,31,58.06451612903226
Pudahuel,2023-03,23,31,74.19354838709677
Pudahuel,2023-10,23,31,74.19354838709677
Pudahuel,2024-04,22,30,73.33333333333333
Pudahuel,2024-08,19,31,61.29032258064516
Puente Alto,2018-03,23,31,74.19354838709677
Puente Alto,2018-10,23,31,74.19354838709677
Puente Alto,2023-10,22,31,70.96774193548387
Quilicura,2018-10,16,31,51.61290322580645
Santiago,2018-10,22,31,70.96774193548387
Santiago,2020-03,20,31,64.51612903225806
Santiago,2024-08,19,31,61.29032258064516
